Framework,Article/Section,Requirement Summary,PTV Component,Implementation Evidence,Verification Method,Status,Notes
HIPAA,§164.312(a)(1),Access controls,JWT tokens (60s expiry single-use),Cryptographic token validation,Token reuse prevention test,Compliant,Tokens consumed after verification
HIPAA,§164.312(a)(2)(iv),Encryption and decryption,TLS 1.3 + AES-256-GCM,All network traffic encrypted,TLS configuration audit,Compliant,Perfect Forward Secrecy enabled
HIPAA,§164.312(b),Audit controls,Immutable audit log,Merkle tree for tamper-evidence,Integrity verification test,Compliant,Tamper attempts detectable
HIPAA,§164.312(c)(1),Integrity controls,Digital signatures (ED25519),All passports cryptographically signed,Signature verification test,Compliant,Invalid signatures rejected
HIPAA,§164.312(e)(1),Transmission security,TLS 1.3 + ZK proofs,PHI never transmitted in cleartext,Network traffic analysis,Compliant,Only proofs transmitted not data
GDPR,Article 5(1)(a),Lawfulness fairness transparency,Explicit consent in governance metadata,Consent flag in passport,Consent audit trail,Compliant,Consent tracked per-request
GDPR,Article 5(1)(b),Purpose limitation,GAIP policy enforcement,Purpose declared in request,Policy violation detection,Compliant,Requests outside purpose rejected
GDPR,Article 5(1)(c),Data minimization,ZK proofs,Only necessary facts proven,Proof size analysis,Compliant,Proofs ~200 bytes (minimal disclosure)
GDPR,Article 5(1)(e),Storage limitation,Passport expiry (24h default),Expired passports auto-invalidated,Expiry enforcement test,Compliant,No permanent storage of credentials
GDPR,Article 5(1)(f),Integrity and confidentiality,TPM + TLS + Signatures,Multi-layer security,Penetration testing,Compliant,Defense in depth architecture
GDPR,Article 25(1),Privacy by design,ZK proofs + sandboxing,Cryptographic privacy guarantees,Third-party privacy audit,Compliant,Zero-knowledge property proven
GDPR,Article 25(2),Privacy by default,Minimal passport (only required fields),Default configuration includes only mandatory fields,Configuration review,Compliant,Optional fields opt-in only
GDPR,Article 32(1),Security of processing,TPM 2.0 + encryption + pseudonymization,Hardware security + crypto,Security audit (ISO 27001),Compliant,Annual security assessment
GDPR,Article 32(2),Risk-appropriate security,83/16/1 triage,Higher risk → stronger verification,Risk-tier correlation analysis,Compliant,BFT only for high-risk scenarios
GDPR,Article 32(4),Measures to test effectiveness,Adversarial testing suite,Regular penetration tests,Quarterly security testing,Compliant,No critical findings in Q1 2026
GDPR,Article 33,Breach notification,Automated alerting,Anomaly detection triggers alerts,Alert system test,Compliant,< 5min time-to-alert
GDPR,Article 35,Data protection impact assessment (DPIA),DPIA template in docs,DPIA template provided for implementers,Template completeness review,Compliant,Covers all GDPR Art. 35 requirements
ISO 27001,A.9.2.1,User registration,TPM EK certificate,Hardware identity registration,Certificate chain validation,Compliant,Manufacturer-signed EK certs
ISO 27001,A.9.4.1,Information access restriction,Sandbox isolation,Agent cannot access system files,Sandbox escape test (penetration),Compliant,0 successful escapes in 1000 attempts
ISO 27001,A.12.4.1,Event logging,Immutable audit trail,All events logged with timestamp,Log completeness audit,Compliant,100% event coverage
ISO 27001,A.12.4.3,Administrator logs,Separate admin audit trail,Admin actions tracked separately,Admin log review,Compliant,Segregation of duties enforced
ISO 27001,A.14.2.8,System security testing,Adversarial testing + fuzzing,Automated security test suite,Continuous security testing,Compliant,Daily security scans
SOC 2,CC6.1,Logical access controls,TPM authentication + JWT tokens,Multi-factor authentication equivalent,Access control audit,Compliant,Hardware + cryptographic auth
SOC 2,CC6.8,Confidentiality of information,ZK proofs + TLS encryption,End-to-end encryption,Encryption configuration review,Compliant,AES-256-GCM + TLS 1.3
SOC 2,CC7.2,System monitoring,SPC charts + alerting,Real-time performance monitoring,Monitoring system test,Compliant,3σ violations trigger alerts
PCI DSS,Requirement 8.2,Strong authentication,TPM 2.0 (something you have),Hardware security module,Authentication strength assessment,Compliant,TPM = hardware 2FA equivalent
PCI DSS,Requirement 10.2,Audit trail,Immutable audit log,All transactions logged,Log integrity test,Compliant,Tamper-evident Merkle tree
